timestamp,channel,action,payload
1779710256702,CH1,POWER (Simulated),4.074
1779710257702,CH1,POWER (Simulated),2.847
1779710258702,CH1,POWER (Simulated),1.749
1779710259702,CH1,POWER (Simulated),4.829
1779710260702,CH1,POWER (Simulated),3.739
1779710261701,CH1,POWER (Simulated),4.070
1779710262702,CH1,POWER (Simulated),0.672
1779710263701,CH1,POWER (Simulated),4.199
1779710264702,CH1,POWER (Simulated),2.460
1779710265702,CH1,POWER (Simulated),3.591
1779710266702,CH1,POWER (Simulated),0.348
1779710267702,CH1,POWER (Simulated),1.769
1779710268702,CH1,POWER (Simulated),2.810
1779710269702,CH1,POWER (Simulated),4.213
1779710270702,CH1,POWER (Simulated),3.464
1779710271702,CH1,POWER (Simulated),1.211
1779710272701,CH1,POWER (Simulated),4.509
1779710273701,CH1,POWER (Simulated),2.635
1779710274701,CH1,POWER (Simulated),0.716
1779710275702,CH1,POWER (Simulated),4.087
1779710276702,CH1,POWER (Simulated),4.971
1779710277702,CH1,POWER (Simulated),0.612
1779710278702,CH1,POWER (Simulated),3.651
1779710279701,CH1,POWER (Simulated),3.382
1779710280702,CH1,POWER (Simulated),0.853
1779710281702,CH1,POWER (Simulated),4.773
1779710282702,CH1,POWER (Simulated),1.315
1779710283702,CH1,POWER (Simulated),1.975
1779710284702,CH1,POWER (Simulated),4.773
1779710285702,CH1,POWER (Simulated),2.692
1779710286702,CH1,POWER (Simulated),3.857
1779710287702,CH1,POWER (Simulated),2.189
1779710288702,CH1,POWER (Simulated),4.908
1779710289702,CH1,POWER (Simulated),2.924
1779710290702,CH1,POWER (Simulated),0.980
1779710291702,CH1,POWER (Simulated),0.221
1779710292702,CH1,POWER (Simulated),3.532
1779710293702,CH1,POWER (Simulated),0.478
1779710294702,CH1,POWER (Simulated),2.069
1779710295702,CH1,POWER (Simulated),1.285
1779710296702,CH1,POWER (Simulated),2.971
1779710297702,CH1,POWER (Simulated),4.121
1779710298703,CH1,POWER (Simulated),2.568
1779710299702,CH1,POWER (Simulated),1.963
1779710300703,CH1,POWER (Simulated),3.955
1779710301703,CH1,POWER (Simulated),3.313
1779710302703,CH1,POWER (Simulated),4.059
1779710303703,CH1,POWER (Simulated),2.185
1779710304702,CH1,POWER (Simulated),0.270
1779710305702,CH1,POWER (Simulated),0.763
1779710306703,CH1,POWER (Simulated),0.743
1779710307702,CH1,POWER (Simulated),1.660
1779710308703,CH1,POWER (Simulated),0.428
1779710309703,CH1,POWER (Simulated),4.937
1779710310702,CH1,POWER (Simulated),4.237
1779710311703,CH1,POWER (Simulated),3.348
1779710312703,CH1,POWER (Simulated),0.128
1779710313702,CH1,POWER (Simulated),2.841
1779710314702,CH1,POWER (Simulated),3.189
1779710315703,CH1,POWER (Simulated),4.732
1779710316703,CH1,POWER (Simulated),0.664
1779710317702,CH1,POWER (Simulated),3.091
1779710318703,CH1,POWER (Simulated),0.188
1779710319703,CH1,POWER (Simulated),0.154
1779710320703,CH1,POWER (Simulated),3.539
1779710321703,CH1,POWER (Simulated),3.449
1779710322703,CH1,POWER (Simulated),4.489
1779710323702,CH1,POWER (Simulated),2.926
1779710324703,CH1,POWER (Simulated),4.198
1779710325703,CH1,POWER (Simulated),1.967
1779710326703,CH1,POWER (Simulated),3.367
1779710327702,CH1,POWER (Simulated),1.829
1779710328702,CH1,POWER (Simulated),2.047
1779710329702,CH1,POWER (Simulated),3.400
1779710330702,CH1,POWER (Simulated),3.146
1779710331703,CH1,POWER (Simulated),2.328
1779710332703,CH1,POWER (Simulated),2.209
1779710333703,CH1,POWER (Simulated),0.680
1779710334703,CH1,POWER (Simulated),0.369
1779710335702,CH1,POWER (Simulated),4.105
1779710336703,CH1,POWER (Simulated),0.143
1779710337703,CH1,POWER (Simulated),2.264
1779710338702,CH1,POWER (Simulated),2.058
1779710339703,CH1,POWER (Simulated),2.627
1779710340703,CH1,POWER (Simulated),1.009
1779710341703,CH1,POWER (Simulated),3.321
1779710342703,CH1,POWER (Simulated),3.571
1779710343703,CH1,POWER (Simulated),4.527
1779710344702,CH1,POWER (Simulated),2.694
1779710345703,CH1,POWER (Simulated),0.110
1779710346703,CH1,POWER (Simulated),4.378
1779710347703,CH1,POWER (Simulated),0.500
1779710348703,CH1,POWER (Simulated),2.212
1779710349702,CH1,POWER (Simulated),4.938
